"Metrics: Sample Count","Periodic Samples: Periodic Samples","Metrics: Discarded metrics","Metrics: Strobe samples","Metrics: Nested calls count","Basic: Instructions Per Cycle","Basic: Retiring","Basic: Bad Speculation","Frontend: Frontend Bound","Frontend: Frontend Stalled Cycles","Backend: Backend Bound","Backend: Backend Stalled Cycles","Branch: Branch MPKI","Branch: Branch Misprediction Percentage","L2 Cache: L2 Cache MPKI","L2 Cache: L2 Cache Miss Percentage","L2 Cache: L2D Cache MPKI","L2 Cache: L2D Cache Miss Percentage","L3 Cache: L3 Cache MPKI","Last Level Cache: LL Cache Read MPKI","Instructions: Load Operations Percentage","Instructions: Store Operations Percentage","Instructions: Advanced SIMD Operations Percentage","Instructions: Floating Point Operations Percentage","Instructions: Integer Operations Percentage","Percentage of Total: Branch Predictor: Mispredictions","Percentage of Total: Cycles: CPU Cycles","Percentage of Total: Instructions (Executed): All","Percentage of Total: Instructions (Executed): Branch (Any)","Percentage of Total: Instructions (Executed): Branch (Mispredicted)","Percentage of Total: Instructions (Speculated): All","Percentage of Total: Instructions (Speculated): Branch (return)","Percentage of Total: Instructions (Speculated): Data Processing (Advanced SIMD)","Percentage of Total: Instructions (Speculated): Data Processing (Floating-point)","Percentage of Total: Instructions (Speculated): Data Processing (Integer)","Percentage of Total: Instructions (Speculated): Load","Percentage of Total: Instructions (Speculated): Store","Percentage of Total: L2 Data Cache: Access","Percentage of Total: L2 Data Cache: Refill","Percentage of Total: L3 Data Cache: Refill","Percentage of Total: Last Level Cache: Miss (due to read)","Percentage of Total: Operations: Executed","Percentage of Total: Operations: Speculated","Percentage of Total: Stalls: Backend","Percentage of Total: Stalls: Frontend","Percentage of Total: Stalls (Slots): All","Percentage of Total: Stalls (Slots): Backend","Percentage of Total: Stalls (Slots): Frontend","Metrics: Percentage of Total Samples","uid","image","symbol","inlined from"
4,0,3,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,22,"ld-linux-aarch64.so.1","_dl_new_object",
4,0,3,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,47,"ld-linux-aarch64.so.1","index",
4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,61,"ld-linux-aarch64.so.1","search_cache",
4,0,3,0,0,,,,,100,,0,,,,,,,,,,,,,,0,0.00530324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285328,0,0,0,0.027433,108,"libc.so.6","__libc_early_init",
4,0,1,0,0,,,,,98.7884,,0,0,,,,,,,,,,,,,0,0.0249578,0.000127208,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0,0,1.32653,0,0,0,0.027433,109,"libc.so.6","__GI___ctype_init",
4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,134,"libc.so.6","__aarch64_cas4_acq",
4,0,2,0,1,,,,,97.3373,,1.47929,0,,,,,,,,,,,,,0,0.00786182,0.000116608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134285,0.411723,0,0,0,0.027433,163,"libc.so.6","__GI_strstr",
4,1,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,165,"d2q9-bgk","__isoc99_fscanf@plt",
4,0,2,0,1,,,,,96.6997,,0,45.4545,14.2857,,,,,,,,,,,,0,0.00704773,0.000233215,0.00904545,0.0977517,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0,0.366672,0,0,0,0.027433,188,"libc.so.6","_IO_new_fclose",
4,0,1,0,0,,,,,95.6092,,0.439078,76.9231,30,,,,,,,,,,,,0,0.0211897,0.000826853,0.0258441,0.58651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107428,1.09,0,0,0,0.027433,195,"libc.so.6","_int_free",
4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,216,"libc.so.6","__libc_cleanup_push_defer",
4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027433,219,"libc.so.6","__mpn_rshift",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,42,"ld-linux-aarch64.so.1","_dl_debug_initialize",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,55,"ld-linux-aarch64.so.1","_dl_load_cache_lookup",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,57,"ld-linux-aarch64.so.1","__GI___fstat64",
3,0,2,0,0,,,,,3.73832,,86.2928,0,0,,,,,,,,,,,,0,0.0074664,0.000222614,0.00258441,0,0,2.85714,0,0,0,0,0,0,0,0,0,0,0,0.0743938,0.0150173,0,0,0,0.0205747,104,"ld-linux-aarch64.so.1","_dl_lookup_direct",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,128,"d2q9-bgk",".plt",
3,0,1,0,0,,,,,42.2789,,56.8216,0,0,,,,,,,,,,,,0,0.0155143,7.42048e-05,0.00258441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101788,0.352906,0,0,0,0.0205747,141,"[vdso]","<Unknown code in [vdso]>",
3,0,2,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,160,"libc.so.6","__GI__IO_file_fopen",
3,0,2,0,0,,,,,97.3333,,0,0,,,,,,,,,,,,,0,0.00697795,0.000339222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36542,0,0,0,0.0205747,166,"libc.so.6","__isoc99_fscanf",
3,0,2,0,0,,,,,50.6211,,44.4099,120,37.5,,,,,,,,,,,,0,0.00748966,0.000265017,0.0103377,0.293255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384054,0.203985,0,0,0,0.0205747,168,"libc.so.6","__GI___uflow",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,171,"libc.so.6","__GI__IO_doallocbuf",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,175,"libc.so.6","__libc_read",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,181,"libc.so.6","__mpn_lshift",
3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205747,211,"libc.so.6","read_int",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,6,"ld-linux-aarch64.so.1","_dl_sysdep_start",
2,0,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,19,"ld-linux-aarch64.so.1","_dl_next_ld_env_entry",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,23,"ld-linux-aarch64.so.1","rtld_malloc",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,54,"ld-linux-aarch64.so.1","cache_rpath",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,56,"ld-linux-aarch64.so.1","_dl_sysdep_read_whole_file",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,60,"ld-linux-aarch64.so.1","__GI___close_nocancel",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,65,"ld-linux-aarch64.so.1","__read_nocancel",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,66,"ld-linux-aarch64.so.1","open_verify.constprop.0",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,73,"ld-linux-aarch64.so.1","rtld_calloc",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,115,"ld-linux-aarch64.so.1","call_init",
2,0,1,0,0,,,,,57.5,,41.1111,0,0,,,,,,,,,,,,0,0.00837354,6.36041e-05,0.00129221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397483,0.259048,0,0,0,0.0137165,125,"libm.so.6","<Unknown code in libm.so.6>",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,133,"libc.so.6","__internal_atexit",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,143,"libc.so.6","_IO_fopen64",
2,0,1,0,0,,,,,100,,0,,,,,,,,,,,,,,0,0.00695469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37418,0,0,0,0.0137165,145,"libc.so.6","__fopen_internal",
2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137165,157,"libc.so.6","_IO_old_init",
